epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8327,2.27228,4.09094,1.76671,0.0009,0.11111,0.00477,0.00152,2.94002,4.35698,2.09153,4.287e-05,4.287e-05,4.287e-05
2,28.6715,1.92716,3.88217,1.63921,0.00124,0.11111,0.00471,0.00047,2.27434,4.06866,1.56984,9.91297e-05,9.91297e-05,9.91297e-05
3,36.6487,1.54319,3.50271,1.32792,0.00635,0.28431,0.05021,0.02798,1.55647,3.78944,1.20057,0.000154361,0.000154361,0.000154361
4,44.6144,1.55304,2.84811,1.23895,0.01448,0.66013,0.15547,0.0587,1.46211,3.59687,1.1966,0.000208563,0.000208563,0.000208563
5,52.6512,1.40436,2.12553,1.15638,0.01468,0.66013,0.18754,0.10036,1.51971,3.4627,1.20731,0.000261736,0.000261736,0.000261736
6,60.4813,1.34476,1.78268,1.10419,0.02025,0.77778,0.2971,0.15456,1.57556,3.20888,1.2684,0.00031388,0.00031388,0.00031388
7,68.2697,1.35163,1.76158,1.15682,0.01883,0.75817,0.36817,0.16737,1.55833,3.15732,1.32582,0.000364995,0.000364995,0.000364995
8,76.0378,1.27759,1.51614,1.07425,0.01818,0.73856,0.29458,0.13764,1.58421,3.24615,1.25632,0.000415082,0.000415082,0.000415082
9,83.7357,1.25667,1.45017,1.10503,0.01764,0.73856,0.55356,0.2042,1.56512,3.23878,1.26194,0.000464139,0.000464139,0.000464139
10,91.6759,1.21605,1.35505,1.08261,0.01974,0.88889,0.70795,0.28543,1.65468,3.0271,1.29363,0.000512168,0.000512168,0.000512168
11,99.6275,1.21766,1.28611,1.08816,0.01836,0.86928,0.74434,0.26097,1.59779,2.89145,1.26459,0.000559168,0.000559168,0.000559168
12,107.326,1.19067,1.23347,1.06806,0.54559,0.81046,0.80983,0.35853,1.50945,2.78714,1.10275,0.000605139,0.000605139,0.000605139
